681.268 372.536  100 100 0.300054
717.821 914.961  100 100 0.391526
498.001 424.073  100 100 0.365618
337.903 442.475  100 100 0.303206
501.341 286.423  100 100 0.375953
804.715 569.379  100 100 0.363298
251.789 87.8879  100 100 0.310422
260.92 957.129  100 100 0.315459
425.44 479.176  100 100 0.309634
586.328 583.217  100 100 0.308535
226.656 376.347  100 100 0.378227
692.785 853.546  100 100 0.389811
643.603 488.039  100 100 0.399343
598.267 740.969  100 100 0.302624
305.678 282.203  100 100 0.325776
526.94 20.5858  100 100 0.32402
617.693 789.089  100 100 0.362477
243.378 389.404  100 100 0.338085
238.804 606.184  100 100 0.380639
70.5256 949.607  100 100 0.339599
736.131 864.64  100 100 0.380489
673.113 863.265  100 100 0.389744
778.089 422.1  100 100 0.360682
130.86 821.959  100 100 0.398305
540.839 255.136  100 100 0.349523
979.989 686.244  100 100 0.34714
699.353 988.233  100 100 0.381587
931.78 867.858  100 100 0.319858
478.256 471.324  100 100 0.350671
634.831 668.905  100 100 0.376614
701.67 92.3466  100 100 0.385191
197.517 26.0781  100 100 0.348382
45.7928 236.787  100 100 0.354632
157.421 308.949  100 100 0.322345
845.56 456.976  100 100 0.338462
612.023 787.029  100 100 0.331388
290.195 477.27  100 100 0.336695
726.638 387.841  100 100 0.392952
118.465 160.761  100 100 0.31838
791.973 184.318  100 100 0.367546
183.13 888.811  100 100 0.368806
698.288 184.32  100 100 0.335801
609.726 252.437  100 100 0.388023
911.449 950.124  100 100 0.393223
437.292 384.611  100 100 0.392939
792.648 229.06  100 100 0.363928
947.163 0.733901  100 100 0.382787
627.238 654.98  100 100 0.341257
63.6478 498.45  100 100 0.332641
106.861 657.094  100 100 0.32224
