148.28 142.645  100 100 0.366449
109.084 77.2659  100 100 0.312214
109.91 83.7217  100 100 0.357408
169.121 73.033  100 100 0.320625
127.897 24.0503  100 100 0.3301
166.285 88.8143  100 100 0.358987
245.069 57.4655  100 100 0.391188
62.6916 40.8457  100 100 0.341128
4.24029 37.891  100 100 0.394386
205.012 94.1614  100 100 0.360879
183.625 71.7758  100 100 0.361741
67.1668 1.86477  100 100 0.356037
84.3772 32.1755  100 100 0.366226
118.601 46.8388  100 100 0.380618
205.669 96.9959  100 100 0.371487
50.2953 85.4027  100 100 0.321089
250.152 108.912  100 100 0.392271
115.343 53.4221  100 100 0.316667
90.1182 91.0747  100 100 0.352981
269.315 101.27  100 100 0.361617
117.795 144.53  100 100 0.344043
246.146 27.743  100 100 0.363055
27.2214 63.9712  100 100 0.344893
105.774 56.5293  100 100 0.368343
218.76 32.2545  100 100 0.340653
143.227 48.2904  100 100 0.319042
199.163 140.475  100 100 0.308157
16.4064 48.2781  100 100 0.332078
190.521 42.1521  100 100 0.31907
211.398 121.174  100 100 0.30613
18.0472 20.4315  100 100 0.336379
246.601 71.9523  100 100 0.38723
9.96116 43.0163  100 100 0.336478
257.529 12.6857  100 100 0.399293
295.012 125.262  100 100 0.385514
123.78 77.118  100 100 0.345872
35.114 100.603  100 100 0.350623
139.625 76.9795  100 100 0.334602
197.04 49.2023  100 100 0.343862
41.1098 92.8311  100 100 0.323918
